Page,Section / Label,Image URL,Alt Text / Description,Thumbnail Preview
HOME,Header & Footer – Logo,https://3ts-inc.com/wp-content/uploads/2025/05/3Ts-New-Logo-200x116.jpeg,Shareef 3Ts Consulting Logo,
HOME,Services – Coaching,https://3ts-inc.com/wp-content/uploads/2025/06/Cocnitive-Bias-4.png,Cognitive Bias 4 – coaching service illustration,
HOME,"Services – Facilitation, Teambuilding & Training",https://3ts-inc.com/wp-content/uploads/2025/06/iStock-1424987910-1024x684.jpg,Coworkers with stacked hands at the office,
HOME,Services – Organizational Development & Change Management,https://3ts-inc.com/wp-content/uploads/2025/05/Organizational-Development-Change-Management.jpg,Organizational Development Change Management,
HOME,Services – Program & Project Management,https://3ts-inc.com/wp-content/uploads/2025/06/PPM-crop-1024x883.jpg,P&PM crop,
HOME,Services – Anti-Imperial / Anti-Colonial,https://3ts-inc.com/wp-content/uploads/2025/06/Flags-photo-1024x683.jpg,European Union flags against blue sky,
ABOUT,Header & Footer – Logo,https://3ts-inc.com/wp-content/uploads/2025/05/3Ts-New-Logo-200x116.jpeg,Shareef 3Ts Consulting Logo,
ABOUT,Hero / Banner,https://3ts-inc.com/wp-content/uploads/2025/05/about.jpeg,Main about page hero/banner image,
ABOUT,Body – Profile Photo of Shareef,https://3ts-inc.com/wp-content/uploads/2025/05/Shareef.png,Shareef – 3T (headshot of principal consultant),
ABOUT,Body – Team Photo,https://3ts-inc.com/wp-content/uploads/2024/05/team-skip-01.jpg,Team photo,
SERVICES,Header & Footer – Logo,https://3ts-inc.com/wp-content/uploads/2025/05/3Ts-New-Logo-200x116.jpeg,Shareef 3Ts Consulting Logo,
SERVICES,Hero / Banner,https://3ts-inc.com/wp-content/uploads/2025/06/Flags-photo-1024x683.jpg,European Union flags against blue sky,
SERVICES,Service Card – Coaching (thumbnail),https://3ts-inc.com/wp-content/uploads/2025/06/Cocnitive-Bias-4.png,Cognitive Bias 4 – coaching service illustration,
SERVICES,Service Card – Coaching (full),https://3ts-inc.com/wp-content/uploads/2025/05/Coaching.jpg,Coaching service image,
SERVICES,"Service Card – Facilitation, Teambuilding & Training (thumbnail)",https://3ts-inc.com/wp-content/uploads/2025/06/iStock-1424987910-1024x684.jpg,Coworkers with stacked hands at the office,
SERVICES,"Service Card – Facilitation, Teambuilding & Training (full)",https://3ts-inc.com/wp-content/uploads/2025/05/Facilitation-Teambuilding-Training.jpg,"Facilitation, Teambuilding & Training service image",
SERVICES,Service Card – Organizational Development & Change Management,https://3ts-inc.com/wp-content/uploads/2025/05/Organizational-Development-Change-Management.jpg,Organizational Development Change Management,
SERVICES,Service Card – Program & Project Management (thumbnail),https://3ts-inc.com/wp-content/uploads/2025/06/PPM-crop-1024x883.jpg,P&PM crop – Program & Project Management service image,
SERVICES,Service Card – Program & Project Management (full),https://3ts-inc.com/wp-content/uploads/2025/05/Program-and-Project-Management.jpg,Program and Project Management service image,
SERVICES,Service Card – Anti-Imperial / Anti-Colonial,https://3ts-inc.com/wp-content/uploads/2025/05/Anti-Imperial-Anti-Colonial-thought-practice.jpg,Anti-Imperial / Anti-Colonial thought & practice service image,
TESTIMONIALS,Header & Footer – Logo,https://3ts-inc.com/wp-content/uploads/2025/05/3Ts-New-Logo-200x116.jpeg,Shareef 3Ts Consulting Logo,
TESTIMONIALS,Hero / Banner (version 1),https://3ts-inc.com/wp-content/uploads/2025/06/Testimonials-hero.jpg,Testimonials hero – hand writing with pen,
TESTIMONIALS,Hero / Banner (version 2),https://3ts-inc.com/wp-content/uploads/2025/05/testimonials.jpg,Woman writing – testimonials page banner image,
TESTIMONIALS,Body – Section Thematic Image,https://3ts-inc.com/wp-content/uploads/2025/05/ge4a00f1f67bbc25d3eda1b564a797c14811e055139455f5a6042e91eaf8317dde9910dd01e8288192e835e91ca78834c_1280-227344.jpg,Thank you / communication labels thematic image,
CONTACT,Header & Footer – Logo,https://3ts-inc.com/wp-content/uploads/2025/05/3Ts-New-Logo-200x116.jpeg,Shareef 3Ts Consulting Logo,
CONTACT,Hero / Banner – Landscape 1,https://3ts-inc.com/wp-content/uploads/2025/05/landscape3.jpeg,Landscape Header 3 – scenic landscape background,
CONTACT,Section / Background – Landscape 2,https://3ts-inc.com/wp-content/uploads/2025/05/landscape-final.jpeg,Landscape Final Image – scenic landscape,
CONTACT,Section / Background – Landscape 3,https://3ts-inc.com/wp-content/uploads/2025/05/landscape2-1.jpeg,Landscape Detail 2 – scenic landscape image,
CONTACT,Section / Background – Landscape 4,https://3ts-inc.com/wp-content/uploads/2025/05/landscape-rotated.jpg,Rotated Landscape View – scenic landscape image,
GLOBAL ASSETS,"Primary Logo (header/footer, all pages)",https://3ts-inc.com/wp-content/uploads/2025/05/3Ts-New-Logo-200x116.jpeg,Shareef 3Ts Consulting Logo – 200x116 resized,
GLOBAL ASSETS,Logo – Full Size,https://3ts-inc.com/wp-content/uploads/2025/05/3Ts-New-Logo.jpeg,Shareef 3Ts Consulting Logo – full size version,
GLOBAL ASSETS,Logo – PNG Transparent,https://3ts-inc.com/wp-content/uploads/2025/05/3Ts-New-Logo-Png.png,Shareef 3Ts Consulting Logo – PNG transparent version,
GLOBAL ASSETS,Favicon / Site Icon,https://3ts-inc.com/wp-content/uploads/2025/05/cropped-3Ts-New-Logo-favicon.jpeg,3Ts Consulting Favicon / Site Icon,
